tweet,sentiment
"looking forward to monday night raw, i have a feeling we'll be seeing ric flair in the ring with sting tonight!",positive
"and it all ends, with sting! monday night raw, was absolutely, way more better, then summerslam.",positive
"that was one of the best monday night raw shows i've seen in a while, finishing off with sting! could we see",positive
"including his tna title wins, sting is a 14-time world champion. beating seth would tie him with cena for 2nd of all time.",positive
great raw tonight...1st the dudley boys and then to end with sting!!!,positive
if sting is in a rollins story line who's the next rumored 3rd man for reigns/ambrose?,neutral
i gotta mute on monday's. good to see sting sucks it was in twitter. i guess back to san andreas it is.,neutral
sting winning at results in either sting vs taker at mania or sting vs cena and i've got a bad feeling it's the 2nd option,positive
sting wins title and vacates it the next night on raw goes in to hall of fame in april....,neutral
"sting is back, and the dudleys return :d quite an eventful monday night raw on the whole. lesnar-dallas though x'd",positive
"and it'd work, seth getting the rub and being sting's 2nd ever opponent + a month long reign with both titles is big",positive
so tomorrow we should try & plan a trip to see the next ppv as sting might be world champ!!,positive
"i liked a video seth rollins vs sting the returns 2015 wwe raw, aug 24",positive
i honestly think i'm still marking out from last night's ... 1st the dudley boyz... then ric flair... and then sting!! :d,positive
sting vs. seth rollins on september 20th for the world title! amazing!,positive
"well, at least you can see sting's 1st wwe title win for only 9.99",positive
"one issue i had with the sting stuff, but it also supporting one of my theories during mania...",negative
"did you notice how the upper corners of sting's paint were gone b/c he was in there so long? ""c'mon seth, take it home.""",neutral
we've already been getting christmas stuff in at work so i assume we're just prepping for black friday even earlier and sting is,neutral
"c'mon, vince...we're not stupid. we all know sting's going to job to rollins to make him look strong.",negative
loving the sting stuff & especially loving the way triple sold it all... sting was in the box!,positive
"the sting stuff just being great & loving how triple h sold the ""big reveal""...",positive
"cena with that broken nose. and if sting is in the title chase, paul (hhh) may have killed that cena-rollins feud.",neutral
i'm getting the gut feeling that sting will win the wwe title belt(which'll drive the wrestling podcasters insane),positive
rock out this wednesday morning with this amazing song by robert downey junior and sting! the lyrics are...,positive
news on the sting angle from monday's raw,positive
pretty nifty way they got sting into the ring on on monday.,positive
c'mon you wouldn't mark out if sting was champ? granted i realize rollins ain't dropping the strap to him but for nostalgia?,neutral
"do you guys think ""the icon"" sting will actually get his 1st victory in wwe? if so, when and where will he get it?!",neutral
maybe if sting had her on monday his facepaint would've made it to 11pm,neutral
"when it comes to weathered instruments, there's brian may's guitar, sting's bass, and motorhead's lemmy",neutral
wwe just announced sting will start off raw this upcoming monday,positive
breaking: just announced that sting will open monday's edition of at 8pm est.,positive
retweeted the cheapest heat ( ): breaking: just announced that sting will open monday's...,positive
see they should have announced sting's appearance last monday beforehand. say he will address wm and his future. tease retirement.,neutral
me and a daddy deano went to see sting and paul simon. 4 blokes behind us talked for the 1st 15 mins. absolute dicks. why?,neutral
breaking news: sting will be at and open the show this monday,positive
englishman in new york by sting was no.15 in the uk charts on 29 august 1990,positive
my first time seeing live and sting opens the show this monday. can't wait!,positive
"wonder if sting will be able to speak with his actual voice on on monday, or if they'll dub him over like a movie trailer again.",neutral
i hope sting spends his time at tomorrow complaining about how long he had to stand behind that curtain while went on & on,neutral
wcw guys will not win wwe world title..sting deserves it but wwe still think it's a monday night war,neutral
that statue's going to be demolished via sting's bat.,neutral
thanks! i know you would have the answer. hope all is well! i'm sure sting last monday had you jacked up with energy!,positive
"for tonight's episode of bell to bell w/ & , listen to . raw, sting, rollins, & more.",neutral
sting appears for the 2nd week - ziggler/lana face rusev/summer - divas beat the clock match to determine contender to title at noc.,neutral
here we go monday night raw hopefully we get another good show tonight sting vs rollins at noc should be really good,positive
"what a good way to open monday night raw with sting, lovin it!",positive
sting opens tonight's - results:,positive
monday night results sting opens the show -,neutral
"i know sting says this is monday night , but it feels a lot more like monday nitro to me",positive
"even if it's an announced segment, i still mark out when sting is on my tv on monday nights.",positive
what a great way to start off monday night raw with sting!,positive
"and may have "" hand picked "" but and sting is right- rollins is not half the man hhh is.",positive
"instead of that, sting has to suck up to hunter. i realize it may be planting a seed for hhh/rollins, but i hate dumb faces.",neutral
"he may be 56, but sting is still as passionate as ever and still has the fire. still awesome on the mic. he and rollins will be m-o-n-e-y.",positive
"going on record, sting wins belt at noc, drops it at the msg show on the 3rd. if i'm wrong, ya can have open season on me.",positive
sting is on wwe monday night raw tonight,positive
"not that i don't love seth rollins, he's gold on the belts. but this may be sting's only title run sooo",positive
: sting opens monday night raw! although with a crappy promo.,positive
sting and dudley boyz in action tonight. one of the best monday night raws nbs,positive
i congratulate you on using vince logic not because sting is old he would never let a wcw star win the strap in his 1st year,positive
*cena and sting stare from the ramp at triple h and seth rollins* was really a closing to monday night raw y'all. that happened.,positive
sting's opening promo being literally the perfect example when it comes to how to sell a ppv with a promo...,positive
i never left. i been lurking over the tl like sting did on monday night nitro,neutral
sting deserves his run with the title on his way to the hof. hbk won the title after being gone for years in his 2nd match back.,positive
"tuesday raw roundtable: sting, dudleys, seth rollins clashes with stephanie, divas beat the clock: wwe had ano...",positive
"will get this tomorrow, looking forward to the sting feature.",positive
fragile - george skaroulis (sting) . ...tomorrow's rain will wash the stains away but something in our minds will...,neutral
"check out my new ""wade keller hot topics video blog."" here's the 3rd one on sting, big show-brock, raw ratings:",positive
watching some classic wcw monday nitro. love reliving the nwo and sting feud. thanks for everything. wcw will live forever,positive
"credit to wcw. bubba beat sting in may, since that time they've decided to put bubba vs hogan tonight - bubba has done *nothing* since",positive
sting defeat the shedden force 10-6. next game tomorrow at 1015 vs innerkip jets .,positive
sting may give you some ideas.,positive
"what up jd,can't wait to hear off the script part 3 tomorrow,sting will be on raw this monday? have good one bro.",positive
roll on the 11th 0ctober wwe sting is here in colchester!!,positive
"not sure if sting's a 1st ballot hofer, since vince holds the only ballot",neutral
considering that sting might have a two-month run w/ the title after being the 3rd wheel to braun strowman... yeah,positive
"verizon remains overall in cell service. t-mobile may not be the best, but i their pricing and upgrades are great.",positive
"why inteliquent inc. jumped 30% tuesday morning: with a fresh t-mobile contract under its belt, the behind-the...",positive
that may take some doing. i'll have to go to t-mobile to get another copy of the receipt.,neutral
angel switched to t-mobile in january. he says it's not bad. is it problems with reception? i have verizon,neutral
"...device is also unlocked or a t-mobile device) you shouldn't need to call in. it may be necessary, however, if... 2/3",neutral
"even better, just found out that i won 3 tickets to sunday's stl/sd game via the t-mobile 3-for-1 sweepstakes! thanks and !",positive
finally got me a lil t-mobile phone! imma get it on friday,positive
i might just do that if i can't convince them. lol my mom & i are gonna go to t-mobile on saturday and see what we can do.(:,positive
guy at t-mobile: ok so just call the store tomorrow and ask for me so we can set up the phone! me the next day: what the fuck was his name.,negative
according to we may see little to none of matt cassel tonight. predominately t-mobile and ej,positive
i won three tickets to the giants vs dodger game on september 1 from the t-mobile sweepstakes giveaway hahaa fuck yea,positive
"so, i won a reds ticket from t-mobile for sunday's game...a single ticket in sec. 509...lol.. can't go without hubby...he'd cry...haha",neutral
have you been able to locate a local t-mobile branch to you? we may need to try your sim in a known working device... 1/2,positive
"terrible preseason game. i'm thinking those refs had some 3rd stringers in tonight as well. solid, safe game by my man t-mobile!!",neutral
tomorrow the lovely ladies of the chapter of will be washing cars at t-mobile on n....,positive
"i may just keep with at&t, sprint is to much , and t-mobile is up in the air for right now.",neutral
"got my replacement phone from t-mobile today. overnighted it no charge, which is awesome. too bad i can't get to the store until tomorrow!",positive
i just wanna switch to t-mobile because of its ceo!!,positive
"google support says compatible with t-mobile, so...guess we bug them for a new sim tomorrow, as planned.",negative
has the worst service ever ! no wonder why their in 4th and t-mobile moved to 3rd,negative
"hahah i haven't had one since monday, and it was supposed to be expedited here. t-mobile is a joke.",negative
come see the signing of at the 4th and wilshire t-mobile store in santa monica!!,positive
yea that's what they said at t-mobile that it comes out in october,positive
"the hot n crusty on 14th and 1st is now a t-mobile, this is why i don't come to the east village anymore.",neutral
2 attempts. i have had no cell service since thursday. our balance has been paid and we've been with t-mobile for almost a year,neutral
hey there! we're excited to have you as part of the t-mobile family! our inventory may vary from channel to channel. if... 1/3,positive
t-mobile said the iphone 6s come out everywhere september 18th. not a 7,neutral
i'll just call t-mobile tomorrow,neutral
"great question! that means you are roaming domestically, in a spot where there may be little to no t-mobile coverage and... 1/3",positive
not yet since it just came out friday they don't have screen protectors. and i'm not paying 25+ for one at t-mobile lmao,positive
for $80 on t-mobile u get unlimited talk/text/data while in the us/mexico/canada. c'mon get with the times,negative
t-mobile holds 2-day sale on devices ending august 25th: back to school is a time to prepare for the upcoming ...,neutral
short sales t-mobile holds 2-day sale on devices ending august 25th: t-mobile has short sales throughout the y...,neutral
"i like t-mobile but this upgrade having spazzed is making me uneasy. i'll ride it out for now, but another incident may make me switch.",negative
"is the iphone 6s coming out sept 18th to t-mobile stores as well? if so, what can i do about reserving one to jump?",neutral
t-mobile has the best people!. my phone may have been stolen or left at work and the rep was so helpful on chat!,positive
"can't wait for saturday, i'm going to my first ever bills game! wanna see t-mobile start",positive
november is when my 1 year anniversary with t-mobile debating if i want to stay with them or go to verizon and get the 6+s,positive
i did it bout 10 times but i got something for t-mobile as tomorrow believe that shit,neutral
i won't have service this thursday/friday because my contract with t-mobile is ending so i have to wait to get a new one on friday,neutral
"tonight's first meeting of the 5th ann. course kicks off with t-mobile, sprint, and ashley madison. wait...what? true! ;)",positive
tomorrow we are taking over the wenonah vs. midfield game with t-mobile!,positive
"t-mobile promised me next day air, so if i don't have a brand new iphone in my hand tomorrow after class they're fake af",negative
t-mobile be trippen my phone is off after i just payed it friday tf !!,negative
"t-mobile needs to change their name to t-maybe, because you may or may not have service",negative
el oh el il see u tomorrow bro and sorry about my phone t-mobile is garbage,neutral
seriously don't want a phone anymore. calling t-mobile tomorrow to cancel this shit,negative
"hey, i may not have t-mobile but you are easily my favorite ceo, probably of all time. definitely of all time.",positive
two guys in floriduh tried to rob a t-mobile store after it closed on tuesday night . . . but it happened to be...,negative
"i guess i will just check back with t-mobile on october 31st halloween to see if they will get any new microsoft lumia smart phones.,",neutral
"t-mobile life instore: csr:hi may i help you me:yes, i can't access my pictures csr:ok......i don't have a note...",neutral
"if me and 2 friends wanted to stop by the t-mobile hq on the way back from pax monday, would that be cool?",positive
i have no wired internet until wednesday. currently relying on t-mobile for access to the rest of the world.,positive
lumia 940 and 940 xl rumors: at&t and t-mobile may get first dibs: after official press renders of the cityman...,positive
"free stuff available from mobile us carriers -- at&t, sprint, t-mobile, verizon -- that you may not be aware of...",positive
"t-mobile and band 12 support in unlocked smartphones put in the spotlight - tmonews: august 27, 2015 alex wa...",neutral
"t-mobile stops sales of lumia 640 just two months after release the lumia 640 went august 28, 2015 cool tech!!!",neutral
"i'm just saying, today the 1st team offense had no harvin, watkins, mccoy... t-mobile with the crew is just damn scary",negative
